"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational","CZ error"
"51","334.41083258982013","243.83539827583365","0.0157470703125","0.016845703125","0.0146484375","2280","0.00022508961953908872","32","0.00022508961953908872","0","0.00022508961953908872","0.00022508961953908872","50:68;52:68;58:68","50:0.0014133483186758167;52:0.003437222867769235;58:0.0031207548446949562","0.0157470703125","0.013671875","Yes","50:0.002289523660428394;52:0.0025154331533930596;58:0.0024357041032325166"
"52","131.5478160868537","28.30906540950565","0.0224609375","0.0263671875","0.0185546875","2280","0.0007391053862452131","32","0.0007391053862452131","0","0.0007391053862452131","0.0007391053862452131","51:68;53:68","51:0.003437222867769235;53:0.003703352015628908","0.0224609375","0.01953125","Yes","51:0.0025154331533930596;53:0.0026623983636514525"
"53","366.2316220902927","76.08093912410007","0.0469970703125","0.087158203125","0.0068359375","2280","0.0018137972627847458","32","0.0018137972627847458","0","0.0018137972627847458","0.0018137972627847458","39:68;52:68;54:68","39:0.001653828805309454;52:0.003703352015628908;54:0.006824438463178872","0.0469970703125","0.0673828125","Yes","39:0.0032499717074200296;52:0.0026623983636514525;54:0.002572777150150779"
"54","360.9820754232325","156.4298194572214","0.05712890625","0.04736328125","0.06689453125","2280","0.00021577656216364535","32","0.00021577656216364535","0","0.00021577656216364535","0.00021577656216364535","53:68;55:68","53:0.006824438463178872;55:0.0013571900604577858","0.05712890625","0.08837890625","Yes","53:0.002572777150150779;55:0.0033919257538735093"
"55","297.12767184456266","96.55971247504783","0.0250244140625","0.02734375","0.022705078125","2280","0.0009530725274396618","32","0.0009530725274396618","0","0.0009530725274396618","0.0009530725274396618","59:68;54:68","54:0.0013571900604577858","0.0250244140625","0.025390625","Yes","59:0.0054962299801953884;54:0.0033919257538735093"
"56","221.7536292198572","29.04836965255496","0.0087890625","0.01123046875","0.00634765625","2280","0.000509394036691585","32","0.000509394036691585","0","0.000509394036691585","0.000509394036691585","63:68;43:68","63:0.013502501151135132;43:0.007967836904240244","0.0087890625","0.008056640625","Yes","63:0.004231870091669587;43:0.006226569171402296"
"57","276.1178546969283","231.565764501961","0.0069580078125","0.010498046875","0.00341796875","2280","0.0009400938533168834","32","0.0009400938533168834","0","0.0009400938533168834","0.0009400938533168834","47:68;67:68","47:0.0012751906210099195;67:0.0014151129227640835","0.0069580078125","0.00927734375","Yes","47:0.0032602876799888714;67:0.004684322487344739"
"58","309.899346308493","168.01366105048405","0.0203857421875","0.012939453125","0.02783203125","2280","0.000258692524689115","32","0.000258692524689115","0","0.000258692524689115","0.000258692524689115","71:68;51:68","71:0.0030369018734298647;51:0.0031207548446949562","0.0203857421875","0.016845703125","Yes","71:0.0021855051022102168;51:0.0024357041032325166"
"59","220.6747533250131","213.07071238440045","0.01025390625","0.00927734375","0.01123046875","2280","0.00048612362379351823","32","0.00048612362379351823","0","0.00048612362379351823","0.00048612362379351823","55:68;75:68","75:0.0011702987412146038","0.01025390625","0.007080078125","Yes","55:0.0054962299801953884;75:0.0021677470569954893"
"60","188.23674323035732","21.12321778672296","0.0054931640625","0.0078125","0.003173828125","2280","0.0012583651839846543","32","0.0012583651839846543","0","0.0012583651839846543","0.0012583651839846543","61:68","61:0.012164102757459966","0.0054931640625","0.003173828125","Yes","61:0.005502091957968663"
"61","251.15663155957074","13.833667101239346","0.0126953125","0.009765625","0.00927734375","2280","0.0008351405246480642","32","0.0008351405246480642","0","0.0008351405246480642","0.0008351405246480642","76:68;60:68;62:68","76:0.008290981386105706;60:0.012164102757459966;62:0.00836485753999125","0.0126953125","0.006103515625","Yes","76:0.004555989263834048;60:0.005502091957968663;62:0.00400155591481105"
"62","363.75796275802395","51.83383188791243","0.0189208984375","0.011474609375","0.0263671875","2280","0.0007007172505670609","32","0.0007007172505670609","0","0.0007007172505670609","0.0007007172505670609","61:68;63:68","61:0.00836485753999125;63:0.02041250846936271","0.0189208984375","0.013671875","Yes","61:0.00400155591481105;63:0.004110258465036237"
"63","310.27554919569104","25.97269025280026","0.013671875","0.01953125","0.0078125","2280","0.0033573354171709444","32","0.0033573354171709444","0","0.0033573354171709444","0.0033573354171709444","56:68;62:68;64:68","56:0.013502501151135132;62:0.02041250846936271;64:0.011877738583252528","0.013671875","0.02392578125","Yes","56:0.004231870091669587;62:0.004110258465036237;64:0.0034737605334010935"
"64","182.7073027727512","94.06606263959021","0.0052490234375","0.00830078125","0.002197265625","2280","0.0003171960933291486","32","0.0003171960933291486","0","0.0003171960933291486","0.0003171960933291486","65:68;63:68","65:0.0030030735438034972;63:0.011877738583252528","0.0052490234375","0.010009765625","Yes","65:0.0024594314055779165;63:0.0034737605334010935"
"65","256.1089085252428","187.90508342132424","0.0150146484375","0.021728515625","0.00830078125","2280","0.0006976786901584111","32","0.0006976786901584111","0","0.0006976786901584111","0.0006976786901584111","64:68;66:68;77:68","64:0.0030030735438034972;66:0.005377944706014437;77:0.0016483608149382156","0.0150146484375","0.006591796875","Yes","64:0.0024594314055779165;66:0.00271190111524916;77:0.0025730970119533236"
"66","109.68500250154999","126.77679930672028","0.0081787109375","0.014404296875","0.001953125","2280","0.0004253735070748048","32","0.0004253735070748048","0","0.0004253735070748048","0.0004253735070748048","65:68;67:68","65:0.005377944706014437;67:0.004235927838496911","0.0081787109375","0.00634765625","Yes","65:0.00271190111524916;67:0.006027055554156641"
"67","321.34092138095906","183.14871645182083","0.015869140625","0.0205078125","0.01123046875","2280","0.0003472406892889203","32","0.0003472406892889203","0","0.0003472406892889203","0.0003472406892889203","68:68;57:68;66:68","68:0.0015272804625449665;57:0.0014151129227640835;66:0.004235927838496911","0.015869140625","0.012451171875","Yes","68:0.0034206638295213587;57:0.004684322487344739;66:0.006027055554156641"
"68","234.08240444183795","184.3862922375927","0.004150390625","0.00732421875","0.0009765625","2280","0.000446892677133887","32","0.000446892677133887","0","0.000446892677133887","0.000446892677133887","67:68;69:68","67:0.0015272804625449665;69:0.002296270056626165","0.004150390625","0.0029296875","Yes","67:0.0034206638295213587;69:0.002889374053117122"
"69","353.1026393994576","224.18084002806978","0.009765625","0.00927734375","0.01025390625","2280","0.0008516600223787835","32","0.0008516600223787835","0","0.0008516600223787835","0.0008516600223787835","78:68;68:68;70:68","78:0.0022361520540929436;68:0.002296270056626165;70:0.003614411345424673","0.009765625","0.008056640625","Yes","78:0.0024022443343128808;68:0.002889374053117122;70:0.003757561184672381"
"70","268.99163738118335","284.5581919366283","0.0135498046875","0.015625","0.011474609375","2280","0.00043231285294964865","32","0.00043231285294964865","0","0.00043231285294964865","0.00043231285294964865","69:68;71:68","69:0.003614411345424673;71:0.0034138608176910723","0.0135498046875","0.0244140625","Yes","69:0.003757561184672381;71:0.0023167543859847484"
"71","195.88075908041822","129.63489751057244","0.01708984375","0.0263671875","0.0078125","2280","0.0008173788720080196","32","0.0008173788720080196","0","0.0008173788720080196","0.0008173788720080196","72:68;58:68;70:68","72:0.0018765214248930295;58:0.0030369018734298647;70:0.0034138608176910723","0.01708984375","0.0068359375","Yes","72:0.0024141441888380633;58:0.0021855051022102168;70:0.0023167543859847484"
"72","235.4869209011558","101.2227236110994","0.0528564453125","0.042236328125","0.0634765625","2280","0.0006696060300500339","32","0.0006696060300500339","0","0.0006696060300500339","0.0006696060300500339","73:68;71:68","73:0.001458361101485256;71:0.0018765214248930295","0.0528564453125","0.35498046875","Yes","73:0.003863205429582406;71:0.0024141441888380633"
"73","159.64596732837649","130.81507569137509","0.0479736328125","0.054931640625","0.041015625","2280","0.0003979121597135908","32","0.0003979121597135908","0","0.0003979121597135908","0.0003979121597135908","72:68;74:68;79:68","72:0.001458361101485256;74:0.0014368877733869356;79:0.0021583767206195814","0.0479736328125","0.045166015625","Yes","72:0.003863205429582406;74:0.003571811094983224;79:0.00268012810268628"
"74","140.34080388847295","104.3940241371501","0.015380859375","0.023193359375","0.007568359375","2280","0.0006815074897004851","32","0.0006815074897004851","0","0.0006815074897004851","0.0006815074897004851","73:68;75:68","73:0.0014368877733869356;75:0.00249235443411408","0.015380859375","0.009521484375","Yes","73:0.003571811094983224;75:0.004796007830747462"
"75","190.28501546576118","63.91147268916453","0.034912109375","0.0615234375","0.00830078125","2280","0.0008755870305791277","32","0.0008755870305791277","0","0.0008755870305791277","0.0008755870305791277","59:68;74:68","59:0.0011702987412146038;74:0.00249235443411408","0.034912109375","0.08203125","Yes","59:0.0021677470569954893;74:0.004796007830747462"
"76","251.49881803582193","29.12372515211256","0.01220703125","0.01416015625","0.01025390625","2280","0.0007631099853598628","32","0.0007631099853598628","0","0.0007631099853598628","0.0007631099853598628","81:68;61:68","81:0.01719111554020572;61:0.008290981386105706","0.01220703125","0.014892578125","Yes","81:0.004450267717859474;61:0.004555989263834048"
"77","205.4945453453042","169.83000962794634","0.0126953125","0.0205078125","0.0048828125","2280","0.0007893203912165923","32","0.0007893203912165923","0","0.0007893203912165923","0.0007893203912165923","85:68;65:68","85:0.005576642419811845;65:0.0016483608149382156","0.0126953125","0.005615234375","Yes","85:0.0036217996673864328;65:0.0025730970119533236"
"78","132.8769298769308","31.760732353284265","0.011474609375","0.00927734375","0.00537109375","2280","0.0008981061907565478","32","0.0008981061907565478","0","0.0008981061907565478","0.0008981061907565478","69:68;89:68","69:0.0022361520540929436;89:0.0035282715922782815","0.011474609375","0.014892578125","Yes","69:0.0024022443343128808;89:0.0030100933296856314"
"79","155.51119560638298","59.040839560213506","0.0137939453125","0.023681640625","0.00390625","2280","0.0012965076942020811","32","0.0012965076942020811","0","0.0012965076942020811","0.0012965076942020811","93:68;73:68","93:0.0010905382286186538;73:0.0021583767206195814","0.0137939453125","0.0458984375","Yes","93:0.004671499744585972;73:0.00268012810268628"
"80","195.68168811952245","110.99477763160317","0.0079345703125","0.008056640625","0.0078125","2280","0.00017680567274628247","32","0.00017680567274628247","0","0.00017680567274628247","0.00017680567274628247","81:68","81:0.0012806462140422525","0.0079345703125","0.223876953125","Yes","81:0.0020146114328918052"
"81","173.10615293129482","157.97402209166367","0.011474609375","0.010986328125","0.011962890625","2280","0.000660750995736426","32","0.000660750995736426","0","0.000660750995736426","0.000660750995736426","80:68;82:68;76:68","80:0.0012806462140422525;82:0.001440308003704066;76:0.01719111554020572","0.011474609375","0.303466796875","Yes","80:0.0020146114328918052;82:0.0020098255742662385;76:0.004450267717859474"
"82","381.393614170092","437.969484623177","0.060791015625","0.117431640625","0.004150390625","2280","0.0005654950402411285","32","0.0005654950402411285","0","0.0005654950402411285","0.0005654950402411285","81:68;83:68","81:0.001440308003704066;83:0.001208278580217631","0.060791015625","0.1376953125","Yes","81:0.0020098255742662385;83:0.002857190497600276"
"83","316.5554493873124","159.03649426857538","0.025146484375","0.02734375","0.02294921875","2280","0.0019883722931511804","32","0.0019883722931511804","0","0.0019883722931511804","0.0019883722931511804","96:68;82:68;84:68","96:0.0036806527520215904;82:0.001208278580217631;84:0.0018569056285233088","0.025146484375","0.060302734375","Yes","82:0.002857190497600276;84:0.00433735608925595"
"84","243.95325788066992","68.44013813130418","0.0101318359375","0.0126953125","0.007568359375","2280","0.0004467392060454073","32","0.0004467392060454073","0","0.0004467392060454073","0.0004467392060454073","83:68;85:68","83:0.0018569056285233088;85:0.006303290212153367","0.0101318359375","0.006103515625","Yes","83:0.00433735608925595;85:0.0033025528663542802"
"85","251.52865494763273","109.401660949925","0.01171875","0.01416015625","0.00927734375","2280","0.000953438781274909","32","0.000953438781274909","0","0.000953438781274909","0.000953438781274909","77:68;86:68;84:68","77:0.005576642419811845;86:0.0049119421140742525;84:0.006303290212153367","0.01171875","0.00927734375","Yes","77:0.0036217996673864328;86:0.005726412307215212;84:0.0033025528663542802"
"86","158.21843601693894","23.554389769404956","0.008544921875","0.01708984375","0","2280","0.0005553250338773102","32","0.0005553250338773102","0","0.0005553250338773102","0.0005553250338773102","85:68;87:68","85:0.0049119421140742525;87:0.0040273928848530705","0.008544921875","0.00244140625","Yes","85:0.005726412307215212;87:0.007546891701507741"
"87","113.9649630201824","74.17616499697975","0.0164794921875","0.03173828125","0.001220703125","2280","0.0012780123228875305","32","0.0012780123228875305","0","0.0012780123228875305","0.0012780123228875305","86:68;88:68;97:68","86:0.0040273928848530705;88:0.012512259529047332;97:0.002490940810877529","0.0164794921875","0.010986328125","Yes","86:0.007546891701507741;88:0.005317822477697992;97:0.003594465392823293"
"88","161.67462398810574","14.900283122488345","0.0072021484375","0.01025390625","0.004150390625","2280","0.0003780906901086266","32","0.0003780906901086266","0","0.0003780906901086266","0.0003780906901086266","87:68;89:68","87:0.012512259529047332;89:0.0021507538038264273","0.0072021484375","0.006591796875","Yes","87:0.005317822477697992;89:0.003976313894703765"
"89","314.17839183628223","178.55443729805094","0.01220703125","0.011962890625","0.012451171875","2280","0.0005883406510022274","32","0.0005883406510022274","0","0.0005883406510022274","0.0005883406510022274","90:68;88:68;78:68","90:0.0012855996495480249;88:0.0021507538038264273;78:0.0035282715922782815","0.01220703125","0.0126953125","Yes","90:0.0021604570632819675;88:0.003976313894703765;78:0.0030100933296856314"
"90","211.66569043566932","193.62012638161949","0.005126953125","0.00732421875","0.0029296875","2280","0.0005036460900256386","32","0.0005036460900256386","0","0.0005036460900256386","0.0005036460900256386","89:68;91:68","89:0.0012855996495480249;91:0.0021081546566212583","0.005126953125","0.007080078125","Yes","89:0.0021604570632819675;91:0.0025617794158227236"
"91","233.649587396616","87.45035546896789","0.0113525390625","0.011474609375","0.01123046875","2280","0.0002459097928922308","32","0.0002459097928922308","0","0.0002459097928922308","0.0002459097928922308","98:68;90:68;92:68","98:0.005250550454976938;90:0.0021081546566212583;92:0.001966248276271232","0.0113525390625","0.010498046875","Yes","98:0.005239074198513466;90:0.0025617794158227236;92:0.003164637452607727"
"92","231.05966060182277","220.17600984526422","0.0325927734375","0.0224609375","0.042724609375","2280","0.0004977295371289507","32","0.0004977295371289507","0","0.0004977295371289507","0.0004977295371289507","91:68;93:68","91:0.001966248276271232;93:0.0017348060656313113","0.0325927734375","0.067138671875","Yes","91:0.003164637452607727;93:0.004875951151911362"
"93","468.99639999914086","130.9993863798712","0.0196533203125","0.026123046875","0.01318359375","2280","0.005870531861790234","32","0.005870531861790234","0","0.005870531861790234","0.005870531861790234","94:68;79:68;92:68","94:0.0022256810926396253;79:0.0010905382286186538;92:0.0017348060656313113","0.0196533203125","0.016845703125","Yes","94:0.004814176031337936;79:0.004671499744585972;92:0.004875951151911362"
"94","296.30352572556103","181.75868470695804","0.023681640625","0.021728515625","0.025634765625","2280","0.0002702542999906263","32","0.0002702542999906263","0","0.0002702542999906263","0.0002702542999906263","93:68;95:68","93:0.0022256810926396253;95:0.0014836140904060657","0.023681640625","0.030517578125","Yes","93:0.004814176031337936;95:0.0033860030875011715"
"95","368.30216184599806","299.91539119932935","0.017822265625","0.0166015625","0.008544921875","2280","0.0016831494984454389","32","0.0016831494984454389","0","0.0016831494984454389","0.0016831494984454389","99:68;94:68","99:0.002519581113243491;94:0.0014836140904060657","0.017822265625","0.015625","Yes","99:0.002503568506098175;94:0.0033860030875011715"
"96","111.8437975668169","87.48381247199028","0.498046875","0.004150390625","0.991943359375","2280","0.00030868779838082785","32","0.00030868779838082785","0","0.00030868779838082785","0.00030868779838082785","83:68;103:68","83:0.0036806527520215904;103:0.003280808241015759","0.498046875","0.334228515625","Yes",""
"97","285.56000259767507","58.44048009498638","0.00634765625","0.009765625","0.0029296875","2280","0.0005074122148004947","32","0.0005074122148004947","0","0.0005074122148004947","0.0005074122148004947","87:68;107:68","87:0.002490940810877529;107:0.006727910052205521","0.00634765625","0.00244140625","Yes","87:0.003594465392823293;107:0.0027820175594369945"
"98","192.4581905651896","50.94287122759855","0.0128173828125","0.021240234375","0.00439453125","2280","0.0007116827521684876","32","0.0007116827521684876","0","0.0007116827521684876","0.0007116827521684876","91:68;111:68","91:0.005250550454976938;111:0.0038388474567553066","0.0128173828125","0.019775390625","Yes","91:0.005239074198513466;111:0.0029335564723535767"
"99","185.7885382898319","169.79850532703838","0.0404052734375","0.0390625","0.041748046875","2280","0.0003727904515896342","32","0.0003727904515896342","0","0.0003727904515896342","0.0003727904515896342","115:68;95:68","115:0.00879181960532252;95:0.002519581113243491","0.0404052734375","0.0517578125","Yes","115:0.005161693131968542;95:0.002503568506098175"
"100","203.46754456404153","157.26394627619393","0.0074462890625","0.007568359375","0.00732421875","2280","0.0006826585428405166","32","0.0006826585428405166","0","0.0006826585428405166","0.0006826585428405166","101:68","101:0.0012061124157631553","0.0074462890625","0.05322265625","Yes","101:0.002482439208930348"
"101","365.9628743830178","208.5490434478895","0.018798828125","0.023681640625","0.013916015625","2280","0.0023190891705844536","32","0.0023190891705844536","0","0.0023190891705844536","0.0023190891705844536","100:68;116:68;102:68","100:0.0012061124157631553;116:0.0012427899797003983;102:0.0014180905709617608","0.018798828125","0.042724609375","Yes","100:0.002482439208930348;116:0.003842778628483645;102:0.0020736521235685534"
"102","370.66412933975755","176.25225936457363","0.363525390625","0.69775390625","0.029296875","2280","0.0006392497261931395","32","0.0006392497261931395","0","0.0006392497261931395","0.0006392497261931395","101:68;103:68","101:0.0014180905709617608;103:0.003718522697881338","0.363525390625","0.29931640625","Yes","101:0.0020736521235685534;103:0.005645266023319967"
